MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Name*,Description,Latitude (WGS 84),Longitude (WGS 84),GeoShape (mPID)
mbo_place_Po_Station_C2,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Station C2",Sampling station in the Po - Adriatic Sea continuum,44.7963833,12.3237,
mbo_place_Po_Station_C3,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Station C3",Sampling station in the Po - Adriatic Sea continuum,44.7952833,12.3436667,
mbo_place_Po_Station_C4,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Station C4",Sampling station in the Po - Adriatic Sea continuum,44.7933167,12.3602667,
mbo_place_Po_Station_C5,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Station C5",Sampling station in the Po - Adriatic Sea continuum,44.7905833,12.3721333,
mbo_place_Po_Station_P1,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Station P1",Sampling station in the Po - Adriatic Sea continuum,44.8293,12.30175,
mbo_place_Po_Station_P2,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Station P2",Sampling station in the Po - Adriatic Sea continuum,44.8112667,12.3458,
mbo_place_Po_Station_P3,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Station P3",Sampling station in the Po - Adriatic Sea continuum,44.8058833,12.3537167,
mbo_place_Po_Station_P4,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Station P4",Sampling station in the Po - Adriatic Sea continuum,44.8013167,12.36025,
mbo_place_Po_Station_P5,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Station P5",Sampling station in the Po - Adriatic Sea continuum,44.79655,12.3696167,
mbo_place_Po_99100201,mbo_lhufnagel,mbo_wp3_d3_3,"Sacca di Goro, Station 99100201",Sampling station in the Po - Adriatic Sea continuum,44.795057,12.351769,
mbo_place_Po_S1-GB_pylon,mbo_lhufnagel,mbo_wp3_d3_3,S1-GB dynamic pylon,Sampling station in the Po - Adriatic Sea continuum,44.738483,12.452633,
mbo_place_Po_2,mbo_lhufnagel,mbo_wp3_d3_3,Station 2 - Lido di Volano,Sampling station in the Po - Adriatic Sea continuum,44.762758,12.2585433,
mbo_place_Po_4,mbo_lhufnagel,mbo_wp3_d3_3,Station 4 - Porto Garibaldi,Sampling station in the Po - Adriatic Sea continuum,44.6614537,12.2570453,
mbo_place_Danube_Chiciu,mbo_lhufnagel,mbo_wp3_d3_3,Chiciu,Sampling station in the Danube - Black Sea continuum,44.1216667,27.2438889,
mbo_place_Danube_Oltenita_Arges,mbo_lhufnagel,mbo_wp3_d3_3,Oltenita / Arges,Sampling station in the Danube - Black Sea continuum,44.0720833,26.6612583,
mbo_place_Danube_SG_01_transitionalwaters,mbo_lhufnagel,mbo_wp3_d3_3,SfGheorghe SG 01 transitional waters,Sampling station in the Danube - Black Sea continuum,44.823467,29.649183,
mbo_place_Danube_SG_02_transitionalwaters,mbo_lhufnagel,mbo_wp3_d3_3,SG 02 transitional waters,Sampling station in the Danube - Black Sea continuum,44.834417,29.671833,
mbo_place_Danube_SG_03_marinewaters,mbo_lhufnagel,mbo_wp3_d3_3,SfGheorghe SG 03 marine waters,Sampling station in the Danube - Black Sea continuum,44.8114,29.671117,
mbo_place_Danube_SG_04_marinewaters,mbo_lhufnagel,mbo_wp3_d3_3,SfGheorghe SG 04 marine waters,Sampling station in the Danube - Black Sea continuum,44.67275,29.815383,
mbo_place_Danube_SG_05_marinewaters,mbo_lhufnagel,mbo_wp3_d3_3,SfGheorghe SG 05 marine waters,Sampling station in the Danube - Black Sea continuum,44.589639,30.106417,
mbo_place_Danube_SG_06_marinewaters,mbo_lhufnagel,mbo_wp3_d3_3,SG 06 marine waters,Sampling station in the Danube - Black Sea continuum,44.33355,30.512267,
mbo_place_Danube_SG_07_marinewaters,mbo_lhufnagel,mbo_wp3_d3_3,SG 07 marine waters,Sampling station in the Danube - Black Sea continuum,44.293278,30.610333,
mbo_place_Danube_SG_08_marinewaters,mbo_lhufnagel,mbo_wp3_d3_3,SG 08 marine waters,Sampling station in the Danube - Black Sea continuum,44.256972,30.621611,
mbo_place_ospar_regions,mbo_kexter,mbo_wp5_t5_2,Ospar regions,http://marineregions.org/mrgid/33320,,,mbo_
