MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Given Name*,Family Name*,Works for Organizations (mPIDs),Affiliated to Organizations (mPIDs),Contact Points (mPIDs),Identifiers
mbo_alanzen,mbo_sformel,mbo_wp2_d2_2,Anders,Lanzén,,,,
mbo_abourret,mbo_sformel,mbo_wp2_d2_2,Audrey,Bourret,,,,
mbo_cheritiertellier,mbo_sformel,mbo_wp2_d2_2,Cassandre,Héritier-Tellier,,,,
mbo_chempel,mbo_sformel,mbo_wp2_d2_2,Christopher A.,Hempel,,,,https://orcid.org/0000-0002-2324-3115
mbo_catallah,mbo_sformel,mbo_wp2_d2_2,Christian,Atallah,,,,
mbo_dstraub,mbo_sformel,mbo_wp2_d2_2,Daniel,Straub,,,,
mbo_ebanchi,mbo_sformel,mbo_wp2_d2_2,Elisa,Banchi,mbo_org_ogs,,,https://orcid.org/0000-0002-6598-0447
mbo_estrand,mbo_sformel,mbo_wp2_d2_2,Emma,Strand,,,,
mbo_emorien,mbo_sformel,mbo_wp2_d2_2,Evan,Morien,,,,
mbo_fhildebrand,mbo_sformel,mbo_wp2_d2_2,Falk,Hildebrand,,,,
mbo_fpanitz,mbo_sformel,mbo_wp2_d2_2,Frank,Panitz,,,,
mbo_gpascal,mbo_sformel,mbo_wp2_d2_2,Geraldine,Pascal,mbo_org_inrae_toulouse,,,https://orcid.org/0000-0002-5250-6594
mbo_orue,mbo_sformel,mbo_wp2_d2_2,Olivier,Rué,mbo_org_inra_jouy,,,https://orcid.org/0000-0001-7517-4724
mbo_egeslain,mbo_sformel,mbo_wp2_d2_2,Enora,Geslain,mbo_org_kuleuven,,,https://orcid.org/0000-0002-4300-1308
mbo_jmiller,mbo_sformel,mbo_wp2_d2_2,Jeffrey,Miller,,,,
mbo_kchuobeng,mbo_sformel,mbo_wp2_d2_2,Kingsly,Chuo Beng,,,,
mbo_llenaroto,mbo_sformel,mbo_wp2_d2_2,Luka,Lenaroto,,,,
mbo_lthompson,mbo_sformel,mbo_wp2_d2_2,Luke,Thompson,mbo_org_aoml,,,https://orcid.org/0000-0002-3911-1280
mbo_pcabezas,mbo_sformel,mbo_wp2_d2_2,Pilar M.,Cabezas,,,,
mbo_nlezzoche,mbo_sformel,mbo_wp2_d2_2,Nolan,Lezzoche,mbo_org_mio,,,https://orcid.org/0009-0004-2631-9930
mbo_mlescot,mbo_sformel,mbo_wp2_d2_2,Magali,Lescot,,,,
mbo_meisele,mbo_sformel,mbo_wp2_d2_2,Marius,Eisele,,,,
mbo_mhoban,mbo_sformel,mbo_wp2_d2_2,Mykle,Hoban,,,,
mbo_nnguyen,mbo_sformel,mbo_wp2_d2_2,Ngoc-Loi,Nguyen,,,,
mbo_nhenry,mbo_sformel,mbo_wp2_d2_2,Nicolas,Henry,,,,
mbo_ocanals,mbo_sformel,mbo_wp2_d2_2,Oriol,Canals,,,,
mbo_odogan,mbo_sformel,mbo_wp2_d2_2,Onur,Doğan,mbo_org_bogazici,,,https://orcid.org/0000-0002-5576-2331
mbo_sjungbluth,mbo_sformel,mbo_wp2_d2_2,Sean,Jungbluth,,,,
mbo_sanslan,mbo_sformel,mbo_wp2_d2_2,Sten,Anslan,,,,
mbo_tvetrovsky,mbo_sformel,mbo_wp2_d2_2,Tomáš,Větrovský,,,,
mbo_vpylro,mbo_sformel,mbo_wp2_d2_2,Victor,Pylro,,,,
mbo_vsilva,mbo_sformel,mbo_wp2_d2_2,Vitor,Silva,,,,
mbo_zgold,mbo_sformel,mbo_wp2_d2_2,Zachary,Gold,,,,
